#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T07:16:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232e02624ff1c	
#INFO	-out.max=999999	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Name
#-out=HD
#-out=HIP
#-out=GJ
#-out=GCVS
#-out=2MASS
#-out=RAJ2000
#-out=DEJ2000
#-out=Cluster
#-out=Dist
#-out.all=2
#-out=Vmag
#-out=V-K
#-out=SpT
#-out=r_SpT
#-out=logLx
#-out=r_logLx
#-out=Prot
#-out=r_Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#-out.all=2
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stars with rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars -- updated version by the author
#Column	Name	(a23)	Default source name (1)	[ucd=meta.id;meta.main]
#Column	HD	(I6)	? Henry Draper catalog number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I6)	? Hipparcos catalog number (Cat. I/239) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	GJ	(a7)	Catalog of nearby stars source name (Cat. V/70)	[ucd=meta.id]
#Column	GCVS	(A9)	? General Catalog of Variable Stars source name (Cat. B/gcvs)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS source name (HHMMSSss+DDMMSSs; J2000 - Cat. II/246)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Cluster	(A8)	? Name of open cluster that star is part of (or 'Field')	[ucd=meta.id]
#Column	Dist	(F5.1)	? Distance to star (2)	[ucd=pos.distance;pos.heliocentric]
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	SpT	(a5)	? Spectral type of star	[ucd=src.spType]
#Column	r_SpT	(A3)	? Reference for spectral type, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	r_logLx	(A3)	Reference for X-ray luminosity in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	r_Prot	(A4)	Reference for rotation period, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
Name|HD|HIP|GJ|GCVS|2MASS|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|r_SpT|logLx|r_logLx|Prot|r_Prot|M*|R*|L*|Teff|dcz|Lx/bol
VB 66                  | 28237|      |       |         |04274607+1144110|04 27 46.07|+11 44 11.1|Hyades  | 46.0| 7.49| 1.42|G0   |W48|29.33|V99| 5.30|K02 | 1.23| 1.20| 2.02|6090| 0.82|-4.56
HD 28237               | 28237|      |       |         |04274607+1144110|04 27 46.07|+11 44 11.1|Field   | 47.0| 7.49| 1.29|F8   |C18|29.35|V99| 5.30|FEPS| 1.23| 1.22| 2.06|6085| 0.82|-4.55
VB 179                 |285830|      |       |         |04274701+1425041|04 27 46.90|+14 25 04.1|Hyades  | 46.0| 9.49| 2.14|     |   |28.37|V99| 9.70|D11 | 0.89| 0.79| 0.39|4957| 0.70|-4.80
VA 486                 |      |      |       |V1102 Tau|04282878+1741453|04 28 28.78|+17 41 45.4|Hyades  | 46.0|12.10| 4.39|     |   |29.49|V99| 2.42|P03 | 0.70| 0.61| 0.13|4234| 0.65|-3.21
VB 69                  | 28291|      |       |V0918 Tau|04283719+1944265|04 28 37.21|+19 44 26.5|Hyades  | 46.0| 8.64| 1.77|G8   |M65|28.88|V99|11.52|P03 | 1.01| 0.92| 0.74|5419| 0.72|-4.58
VB 73                  | 28344|      |       |V0920 Tau|04284827+1717079|04 28 48.30|+17 17 07.7|Hyades  | 46.0| 7.82| 1.46|G1   |M65|29.15|V99| 7.41|P03 | 1.17| 1.11| 1.51|5886| 0.82|-4.61
VA 512                 |      |      |       |         |04290015+1620467|04 28 59.97|+16 20 45.9|Hyades  | 46.0|14.26| 4.89|     |   |29.43|V99| 8.80|P03 | 0.41| 0.35| 0.03|3684| 0.41|-2.56
VB 79                  |285773|      |       |V0921 Tau|04293159+1753355|04 29 31.61|+17 53 35.5|Hyades  | 46.0| 8.94| 1.95|K0   |M65|28.72|V99|11.38|P03 | 0.97| 0.87| 0.60|5261| 0.72|-4.65
VB 182                 |      |      |       |         |04303486+1544023|04 30 34.90|+15 44 02.4|Hyades  | 46.0| 9.01| 2.19|     |   |28.40|V99| 8.73|D11 | 0.97| 0.88| 0.61|5277| 0.72|-4.97
                       |      |      |       |         |                |04 31 00.01|+36 47 54.8|Field   | 13.0|13.29| 4.69|     |   |27.74|V99|13.26|H11 | 0.17| 0.18| 0.00|3216| 0.00|-3.48
HD 284496              |284496|      |       |V1202 Tau|04311686+2150252|04 31 16.86|+21 50 25.3|Field   |133.0|10.84| 2.11|     |   |30.07|V99| 2.71|B97 | 1.06| 1.13| 0.90|5099| 0.68|-3.47
VA 677                 |286839|      |       |V1147 Tau|04322565+1306476|04 32 25.61|+13 06 47.5|Hyades  | 46.0|11.03| 3.38|     |   |29.68|V99| 1.48|D11 | 0.74| 0.65| 0.17|4388| 0.65|-3.14
HD 285840              |285840|      |       |V1203 Tau|04324242+1855102|04 32 42.44|+18 55 09.3|Field   | 98.0|10.74| 2.05|     |   |29.87|V99| 1.56|X06 | 0.94| 0.85| 0.53|5159| 0.70|-3.26
VB 91                  |      |      |       |V0996 Tau|04325009+1600210|04 32 50.11|+16 00 20.9|Hyades  | 46.0| 8.92| 2.15|     |   |28.76|V99| 9.36|P03 | 0.99| 0.90| 0.66|5334| 0.72|-4.64
1RXS J043258.3+154851  |      |      |       |         |                |04 32 59.43|+15 49 08.4|Field   | 27.0|10.75| 3.81|     |   |28.69|V99| 3.07|B97 | 0.42| 0.72| 0.10|3674| 0.00|-3.90
VB 92                  |      |      |       |V0997 Tau|04325943+1549084|04 32 59.45|+15 49 08.3|Hyades  | 46.0| 8.66| 1.77|G8   |M65|28.48|V99| 9.04|P03 | 1.01| 0.92| 0.73|5408| 0.72|-4.97
L74                    |      |      |       |         |04332376+2359270|04 33 23.50|+23 59 25.4|Hyades  | 46.0|12.62| 4.59|     |   |29.70|V99|17.55|D11 | 0.63| 0.54| 0.09|4051| 0.61|-2.86
HD 28495               | 28495|      |NN3295 |MS Cam   |04335424+6437593|04 33 54.27|+64 37 59.6|Field   | 28.0| 7.75| 1.42|G0   |C18|29.54|V99| 7.00|FEPS| 0.95| 0.86| 0.56|5199| 0.70|-3.80
L79                    |      |      |       |         |04341113+1133285|04 34 10.99|+11 33 28.4|Hyades  | 46.0|11.73| 3.67|     |   |29.05|V99|11.03|D11 | 0.66| 0.57| 0.11|4126| 0.65|-3.57
VB 97                  | 28992|      |       |V0938 Tau|04343529+1530166|04 34 35.31|+15 30 16.6|Hyades  | 46.0| 7.92| 1.46|G1   |M65|28.89|V99| 8.55|P03 | 1.15| 1.08| 1.38|5822| 0.76|-4.83
VA 776                 |      |      |       |         |04354850+1317169|04 35 48.50|+13 17 16.8|Hyades  | 46.0|14.91| 5.04|     |   |28.51|V99|13.36|D11 | 0.33| 0.30| 0.02|3562| 0.00|-3.28
                       |      |      |       |         |                |04 36 08.66|+27 33 23.0|Field   | 26.0|14.59| 4.62|     |   |28.26|V99| 2.60|H11 | 0.18| 0.19| 0.00|3242| 0.00|-3.02
VB 102                 | 29310|      |       |V0998 Tau|04373196+1508473|04 37 31.98|+15 08 47.2|Hyades  | 46.0| 7.54| 1.46|G1   |M65|29.30|V99| 6.46|P03 | 1.23| 1.19| 1.95|6067| 0.82|-4.57
GJ NN3304              |      |      |NN3304 |         |                |04 38 12.56|+28 13 00.1|Field   |  5.3|12.49| 5.16|     |   |27.96|V99| 0.34|H11 | 0.13| 0.14| 0.00|3045| 0.00|-2.95
HD 282346              |282346|      |       |V0584 Aur|04393100+3407444|04 39 31.01|+34 07 44.5|Field   | 53.0| 9.62| 2.15|K2   |C18|30.20|V99| 0.73|N07 | 0.91| 0.82| 0.44|5050| 0.70|-3.33
BD12:623               |286929|      |       |         |04395095+1243426|04 39 50.90|+12 43 42.6|Hyades  | 46.0|10.06| 2.58|     |   |28.64|V99|10.85|D11 | 0.82| 0.73| 0.26|4685| 0.68|-4.37
HD 283810              |283810|      |       |         |                |04 40 09.21|+25 35 32.7|Field   | 33.0|10.63| 3.24|     |   |29.43|V99| 5.61|H11 | 0.68| 0.58| 0.12|4166| 0.65|-3.23
                       |      |      |       |         |                |04 42 52.72|+31 38 24.4|Field   | 17.0|14.32| 4.88|     |   |27.69|V99|12.49|H11 | 0.15| 0.16| 0.00|3143| 0.00|-3.40
GJ 176                 |285968|      |       |         |04425581+1857285|04 42 55.78|+18 57 29.4|Field   |  9.3| 9.97| 4.36|     |   |27.36|V99|38.92|K07 | 0.46| 0.40| 0.04|3754| 0.54|-4.79
V1205 Tau              |      |      |       |V1205 Tau|04442355+2017175|04 44 23.55|+20 17 17.5|Field   |115.0|12.61| 3.08|     |   |29.67|V99| 1.15|B97 | 0.76| 0.74| 0.21|4318| 0.64|-3.23
                       |      |      |       |         |                |04 45 41.63|+32 49 26.1|Field   |135.0|14.16| 3.40|     |   |29.75|V99| 3.31|H11 | 0.61| 0.52| 0.08|4001| 0.61|-2.75
VB 142                 | 30246|      |       |         |04463036+1528194|04 46 30.41|+15 28 19.2|Hyades  | 46.0| 8.30| 1.81|     |   |28.68|V99| 7.95|D11 | 1.09| 1.01| 1.04|5643| 0.76|-4.92
V1336_Tau              |      |      |       |V1336 Tau|                |04 47 21.04|+28 08 53.1|Field   | 12.0|13.89| 5.02|     |   |27.93|V99| 0.62|H11 | 0.14| 0.15| 0.00|3091| 0.00|-3.06
HD 30495               |      |      |       |         |04473628-1656041|04 47 36.29|-16 56 04.0|Field   | 13.0| 5.49| 1.46|G1   |G06|28.70|P03| 7.60|P03 | 1.09| 1.01| 1.06|5652| 0.76|-4.91
L95                    |      |      |       |         |                |04 48 00.87|+17 03 21.6|Hyades  | 46.0|11.12| 3.75|     |   |28.97|V99|10.77|D11 | 0.77| 0.68| 0.20|4494| 0.68|-3.92
VB 115                 |      |      |       |         |                |04 48 42.12|+21 06 03.6|Hyades  | 46.0| 9.06| 1.99|     |   |28.48|V99| 9.69|D11 | 0.95| 0.85| 0.54|5182| 0.70|-4.84
                       |      |      |       |         |                |04 48 54.99|+55 27 18.6|Field   | 43.0|11.23| 3.26|     |   |29.18|V99|10.46|H11 | 0.67| 0.58| 0.11|4144| 0.65|-3.46
VB 117                 |      |      |       |         |                |04 49 12.99|+24 48 10.2|Hyades  | 46.0| 9.53| 2.57|     |   |29.62|V99| 6.90|D11 | 0.91| 0.81| 0.43|5035| 0.70|-3.60
                       |      |      |       |         |                |04 49 29.47|+48 28 45.9|Field   |  7.5|13.46| 5.29|     |   |27.95|V99| 1.03|H11 | 0.12| 0.14| 0.00|3006| 0.00|-2.92
                       |      |      |       |         |                |04 51 47.91|+34 01 48.3|Field   | 71.0|13.79| 3.68|     |   |29.10|V99| 1.49|H11 | 0.47| 0.40| 0.04|3765| 0.54|-3.07
                       |      |      |       |         |                |04 51 49.09|+34 01 49.6|Field   |131.0|14.18| 3.42|     |   |29.63|V99| 0.73|H11 | 0.60| 0.51| 0.08|3975| 0.61|-2.84
BD18:746               |      |      |       |         |                |04 52 23.52|+18 59 49.0|Hyades  | 46.0|10.29| 2.55|     |   |28.56|V99|11.34|D11 | 0.78| 0.69| 0.21|4535| 0.68|-4.35
GJ 2036A               |      |      |       |         |04533119-5551372|04 53 31.21|-55 51 37.1|Field   | 11.0|11.13| 4.10|M3   |T06|28.98|V99| 0.85|K07 | 0.31| 0.29| 0.01|3545| 0.00|-2.78
GJ 182                 |      |      |       |V1005 Ori|04593483+0147007|04 59 34.83|+01 47 00.7|Field   | 26.0| 9.60| 3.34|     |   |28.97|P03| 1.86|P03 | 0.76| 0.67| 0.20|4469| 0.68|-3.90
                       |      |      |       |         |                |05 00 12.49|+53 20 39.5|Field   | 63.0|13.96| 3.78|     |   |29.29|V99| 0.40|H11 | 0.42| 0.36| 0.03|3692| 0.09|-2.74
2MASS J05043579+0402467|      |      |       |         |05043579+0402467|05 04 35.81|+04 02 46.8|Field   |125.0|10.50| 1.69|     |   |30.32|V99| 0.37|X07 | 1.06| 0.99| 0.96|5577| 0.76|-3.25
HD 32850               | 32850|      |       |         |05064223+1426462|05 06 42.22|+14 26 46.4|Field   | 24.0| 7.74| 1.95|K0   |C18|28.15|V99|17.99|FEPS| 0.92| 0.83| 0.48|5105| 0.70|-5.08
GJ 3331A               |      |      |       |         |05064946-2135038|05 06 49.61|-21 35 06.0|Field   | 12.0|10.28| 4.10|M3   |S86|29.14|V99| 0.34|K07 | 0.47| 0.40| 0.04|3757| 0.54|-3.01
                       |      |      |       |         |                |05 07 18.24|+53 07 11.6|Field   | 29.0|13.60| 4.16|     |   |28.34|V99| 4.23|H11 | 0.27| 0.26| 0.01|3464| 0.00|-3.28
                       |      |      |       |         |                |05 07 59.70|+28 53 52.2|Field   | 78.0|12.73| 3.32|     |   |29.31|V99| 6.75|H11 | 0.64| 0.55| 0.10|4076| 0.61|-3.27
                       |      |      |       |         |                |05 08 10.26|+53 24 30.8|Field   | 89.0|13.32| 3.42|     |   |29.72|V99| 1.58|H11 | 0.60| 0.51| 0.08|3979| 0.61|-2.76
                       |      |      |       |         |                |05 09 25.97|+27 03 41.8|Field   | 48.0|12.67| 3.61|     |   |28.85|V99| 5.81|H11 | 0.51| 0.43| 0.05|3818| 0.54|-3.40
                       |      |      |       |         |                |05 11 26.19|+26 58 46.1|Field   | 48.0|13.60| 3.84|     |   |28.81|V99| 8.09|H11 | 0.39| 0.34| 0.02|3654| 0.09|-3.14
HD 35296               | 35296| 25278|       |V1119 Tau|05242545+1723006|05 24 25.46|+17 23 00.7|Field   | 15.0| 5.00| 1.29|F8   |B95|29.44|V99| 3.56|D96 | 1.22| 1.20| 1.98|6060| 0.82|-4.39
HD 35850               | 35850|      |       |AF Lep   |05270477-1154033|05 27 04.76|-11 54 03.5|Field   | 27.0| 6.30| 1.24|F7:  |C18|30.34|V99| 0.97|FEPS| 1.22| 1.20| 1.98|6060| 0.82|-3.48
HD 36705               |      |      |       |         |05284484-6526551|05 28 44.83|-65 26 54.9|Field   | 15.0| 6.88| 2.15|K2   |G06|30.30|P03| 0.51|P03 | 0.91| 0.82| 0.44|5054| 0.70|-2.93
                       |      |      |       |         |                |05 30 01.79|+48 49 35.3|Field   | 29.0|13.61| 4.15|     |   |28.34|V99| 0.83|H11 | 0.27| 0.26| 0.01|3469| 0.00|-3.29
GJ 205                 | 36395|      |       |         |05312734-0340356|05 31 27.40|-03 40 38.0|Field   |  5.7| 7.92| 3.73|M1   |H99|27.65|V99|33.61|K07 | 0.54| 0.46| 0.06|3867| 0.54|-4.68
                       |      |      |       |         |                |05 36 24.79|+53 36 21.8|Field   | 37.0|12.26| 3.66|     |   |28.81|V99| 3.40|H11 | 0.49| 0.41| 0.04|3785| 0.54|-3.39
HD 245409              |245409|      |208    |V2689 Ori|05363099+1119401|05 36 30.99|+11 19 40.3|Field   | 11.0| 8.78| 3.41|K7   |C18|28.40|V99|12.29|P05 | 0.61| 0.52| 0.08|4006| 0.61|-4.13
HD 37572               | 37572|      |       |UY Pic   |05365685-4757528|05 36 56.85|-47 57 52.9|Field   | 24.0| 7.95| 1.95|K0   |C18|29.91|V99| 4.52|M10 | 0.89| 0.80| 0.40|4972| 0.70|-3.26
HD 37216               | 37216|      |       |         |05395233+5253508|05 39 52.35|+52 53 51.0|Field   | 28.0| 7.85| 1.64|G5   |C18|28.70|V99|14.60|FEPS| 0.94| 0.85| 0.54|5177| 0.70|-4.60
HD 37394               | 37394|      |211    |V0538 Aur|05412033+5328523|05 41 20.34|+53 28 51.8|Field   | 12.0| 6.21| 2.03|K1   |B95|28.55|V99|11.00|B96 | 0.94| 0.85| 0.52|5155| 0.70|-4.71
HD 38529               | 38529|      |       |         |05463492+0110053|05 46 34.91|+01 10 05.5|Field   | 42.0| 5.95| 1.62|G4   |C18|29.02|V99|35.90|FEPS| 1.60| 1.75| 7.22|6977| 0.99|-5.40
GJ 3367                |      |      |       |         |05471796-0000487|05 47 17.97|-00 00 48.7|Field   | 24.0|10.99| 3.83|     |   |28.99|V99|12.05|K07 | 0.57| 0.48| 0.07|3920| 0.61|-3.42
HD 38949               | 38949|      |       |         |05482005-2427500|05 48 20.06|-24 27 49.9|Field   | 43.0| 7.80| 1.46|G1   |C18|28.92|V99| 7.60|FEPS| 1.13| 1.07| 1.29|5772| 0.76|-4.72
HD 39587               | 39587| 27913|222AB  |khi 1    |Ori             |05 54 22.98|+20 16 34.2|Field   |  8.7| 4.39| 1.42|G0   |B95|29.08|V99| 5.36|D96 | 1.12| 1.05| 1.22|5739| 0.76|-4.53
G 99-49                |      |      |       |         |06000351+0242236|06 00 03.49|+02 42 23.7|Field   |  5.4|11.33| 5.29|     |   |28.01|P03| 0.50|P03 | 0.22| 0.22| 0.01|3335| 0.00|-3.42
                       |      |      |       |         |                |06 02 20.85|+47 44 03.4|Field   |177.0|13.84| 3.06|     |   |30.02|V99|11.39|H11 | 0.72| 0.64| 0.16|4325| 0.65|-2.76
HD 42807               |      |      |       |         |06131250+1037374|06 13 12.50|+10 37 37.7|Field   | 18.0| 6.43| 1.64|G5   |G03|28.60|P03| 7.80|P03 | 1.04| 0.96| 0.85|5494| 0.72|-4.92
                       |      |      |       |         |                |06 13 43.37|+36 32 39.1|Field   | 60.0|13.26| 3.63|     |   |28.68|V99| 1.03|H11 | 0.50| 0.42| 0.04|3805| 0.54|-3.55
AO Men                 | 45081|      |       |AO Men   |06182824-7202416|06 18 28.21|-72 02 41.5|Field   | 38.0| 9.95| 3.14|     |   |30.16|V99| 2.66|K02 | 0.82| 0.74| 0.28|4712| 0.68|-2.84
HD 43989               | 43989|      |       |V1358 Ori|06190805-0326203|06 19 08.06|-03 26 20.4|Field   | 50.0| 7.95| 1.42|G0   |C18|30.09|V99| 1.15|C99 | 1.16| 1.12| 1.52|5878| 0.82|-3.63
                       |      |      |       |         |                |06 23 22.25|+43 44 30.5|Field   | 21.0|13.53| 4.40|     |   |27.83|V99|10.35|H11 | 0.22| 0.22| 0.01|3339| 0.00|-3.61
GJ 234A                |      |      |       |V0577 Mon|06292339-0248499|06 29 23.40|-02 48 50.3|Field   |  4.1|11.12| 5.63|     |   |27.75|P03| 0.39|P03 | 0.21| 0.21| 0.01|3317| 0.00|-3.65
                       |      |      |       |         |                |06 36 25.23|+43 49 47.3|Field   | 13.0|13.80| 4.92|     |   |28.14|V99| 1.59|H11 | 0.14| 0.16| 0.00|3127| 0.00|-2.92
                       |      |      |       |         |                |06 39 46.56|+43 03 05.7|Field   | 34.0|12.93| 3.85|     |   |28.36|V99| 7.85|H11 | 0.38| 0.34| 0.02|3644| 0.09|-3.58
                       |      |      |       |         |                |06 47 07.11|+44 39 45.9|Field   | 18.0|15.32| 5.29|     |   |27.84|V99|10.51|H11 | 0.12| 0.14| 0.00|3007| 0.00|-3.03
                       |      |      |       |         |                |06 49 56.03|+32 21 43.5|Field   |136.0|13.04| 2.94|     |   |29.70|V99| 0.28|H11 | 0.74| 0.66| 0.18|4408| 0.65|-3.14
                       |      |      |       |         |                |06 51 48.32|+27 12 06.7|Field   | 39.0|11.83| 3.51|     |   |29.27|V99| 3.05|H11 | 0.56| 0.47| 0.06|3900| 0.61|-3.11
                       |      |      |       |         |                |07 08 13.45|+18 46 38.5|Field   | 16.0|13.32| 4.55|     |   |28.71|V99| 0.52|H11 | 0.19| 0.20| 0.01|3273| 0.00|-2.62
GJ 268                 |      |      |268    |QY Aur   |                |07 10 01.80|+38 31 45.8|Field   |  6.3|11.61| 5.76|     |   |28.04|V99| 5.59|H11 | 0.27| 0.26| 0.01|3465| 0.00|-3.58
                       |      |      |       |         |                |07 10 36.52|+17 13 23.1|Field   | 32.0|12.76| 3.85|     |   |28.72|V99| 2.55|H11 | 0.38| 0.34| 0.02|3644| 0.09|-3.22
                       |      |      |       |         |                |07 12 14.46|+13 23 09.7|Field   |103.0|12.71| 3.09|     |   |29.71|V99| 3.09|H11 | 0.72| 0.63| 0.15|4310| 0.65|-3.06
                       |      |      |       |         |                |07 13 41.87|+38 46 45.0|Field   | 20.0|13.13| 4.27|     |   |28.51|V99| 1.67|H11 | 0.24| 0.24| 0.01|3405| 0.00|-3.02
                       |      |      |       |         |                |07 15 08.77|+15 55 45.4|Field   | 49.0|11.48| 3.51|     |   |29.74|V99| 0.55|H11 | 0.70| 0.62| 0.14|4253| 0.65|-2.98
RE J0723+20            |      |      |       |         |07234358+2024588|07 23 43.59|+20 24 58.7|Field   | 30.0| 9.93| 3.05|     |   |29.36|V99| 2.78|N07 | 0.73| 0.64| 0.16|4334| 0.65|-3.39
TYC 1355-214-1         |      |      |       |         |07234358+2024588|07 23 43.59|+20 24 58.7|Field   | 30.0| 9.93| 3.05|     |   |29.35|V99| 2.80|FEPS| 0.73| 0.64| 0.16|4334| 0.65|-3.44
                       |      |      |       |         |                |07 24 56.78|+30 54 36.8|Field   | 13.0|12.71| 4.48|     |   |28.14|V99|15.10|H11 | 0.20| 0.21| 0.01|3303| 0.00|-3.24
                       |      |      |       |         |                |07 26 41.54|+18 50 34.7|Field   | 17.0|13.83| 4.71|     |   |27.91|V99| 0.84|H11 | 0.17| 0.18| 0.00|3209| 0.00|-3.30
HD 59747               | 59747|      |       |DX Lyn   |07330059+3701475|07 33 00.58|+37 01 47.4|Field   | 20.0| 7.68| 1.64|G5   |C18|28.54|V99| 8.03|S00 | 0.84| 0.76| 0.32|4801| 0.68|-4.46
                       |      |      |       |         |                |07 35 12.01|+37 14 07.9|Field   | 36.0|13.12| 3.88|     |   |28.55|V99| 0.87|H11 | 0.37| 0.33| 0.02|3627| 0.09|-3.36
                       |      |      |       |         |                |07 42 13.82|+40 01 50.5|Field   | 19.0|14.40| 4.79|     |   |27.82|V99| 1.22|H11 | 0.16| 0.17| 0.00|3177| 0.00|-3.33
GJ 285                 |      |      |285    |YZ CMi   |07444018+0333089|07 44 40.17|+03 33 08.8|Field   |  6.0|11.20| 5.50|     |   |28.50|P03| 2.78|P03 | 0.28| 0.26| 0.01|3482| 0.00|-3.14
                       |      |      |       |         |                |07 47 16.93|+29 57 36.8|Field   | 17.0|13.13| 4.44|     |   |28.37|V99| 1.02|H11 | 0.21| 0.22| 0.01|3324| 0.00|-3.05
                       |      |      |       |         |                |07 49 01.69|+19 12 02.7|Field   | 61.0|13.34| 3.65|     |   |28.98|V99| 1.36|H11 | 0.49| 0.42| 0.04|3789| 0.54|-3.22
                       |      |      |       |         |                |07 52 34.01|+41 00 56.6|Field   | 17.0|14.33| 4.88|     |   |27.67|V99|30.33|H11 | 0.15| 0.16| 0.00|3143| 0.00|-3.42
2MASS J07565520-6058118|      |      |       |         |07565520-6058118|07 56 55.20|-60 58 11.7|NGC2516 |344.0|17.36| 3.76|     |   |29.28|P06| 2.36|I07 | 0.53| 0.44| 0.05|3861| 0.57|-3.02
2MASS J07575777-6102037|      |      |       |         |07575777-6102037|07 57 57.76|-61 02 03.8|NGC2516 |344.0|19.46| 4.81|     |   |29.25|P06| 0.92|I07 | 0.32| 0.30| 0.02|3551| 0.00|-2.54
2MASS J07582723-6102453|      |      |       |         |07582723-6102453|07 58 27.23|-61 02 45.4|NGC2516 |344.0|20.22| 5.37|     |   |29.29|P06| 0.64|I07 | 0.28| 0.27| 0.01|3481| 0.00|-2.39
2MASS J07585359-6054241|      |      |       |         |07585359-6054241|07 58 53.58|-60 54 24.2|NGC2516 |344.0|16.81| 3.82|     |   |29.40|P06| 1.60|I07 | 0.62| 0.53| 0.09|4047| 0.62|-3.14
2MASS J07585638-6047228|      |      |       |         |07585638-6047228|07 58 56.42|-60 47 22.8|NGC2516 |344.0|17.13| 3.67|     |   |29.15|P06| 0.45|I07 | 0.55| 0.46| 0.06|3902| 0.62|-3.21
2MASS J07585657-6052160|      |      |       |         |07585657-6052160|07 58 56.58|-60 52 15.9|NGC2516 |344.0|17.59| 4.02|     |   |29.22|P06| 0.96|I07 | 0.52| 0.44| 0.05|3858| 0.57|-3.07
2MASS J07590055-6044103|      |      |       |         |07590055-6044103|07 59 00.58|-60 44 10.5|NGC2516 |344.0|20.11| 5.48|     |   |28.80|P06| 0.34|I07 | 0.31| 0.29| 0.01|3536| 0.00|-2.96
2MASS J07590880-6057025|      |      |       |         |07590880-6057025|07 59 08.80|-60 57 02.7|NGC2516 |344.0|17.35| 3.75|     |   |29.03|P06| 6.58|I07 | 0.53| 0.44| 0.05|3861| 0.57|-3.27
2MASS J07590905-6047570|      |      |       |         |07590905-6047570|07 59 09.08|-60 47 57.0|NGC2516 |344.0|19.78| 5.16|     |   |28.87|P06| 0.39|I07 | 0.31| 0.30| 0.02|3546| 0.00|-2.91
2MASS J07590959-6050515|      |      |       |         |07590959-6050515|07 59 09.59|-60 50 51.5|NGC2516 |344.0|17.65| 3.98|     |   |29.26|P06| 0.76|I07 | 0.51| 0.42| 0.05|3836| 0.57|-3.00
2MASS J07592248-6037123|      |      |       |         |07592248-6037123|07 59 22.53|-60 37 12.5|NGC2516 |344.0|18.06| 4.09|     |   |29.00|P06| 0.52|I07 | 0.46| 0.38| 0.03|3757| 0.57|-3.13
2MASS J07592899-6039417|      |      |       |         |07592899-6039417|07 59 29.02|-60 39 41.7|NGC2516 |344.0|17.54| 3.88|     |   |29.34|P06| 0.33|I07 | 0.51| 0.43| 0.05|3843| 0.57|-2.93
2MASS J07592969-6042369|      |      |       |         |07592969-6042369|07 59 29.69|-60 42 37.1|NGC2516 |344.0|20.47| 5.37|     |   |29.02|P06| 0.34|I07 | 0.24| 0.25| 0.01|3413| 0.00|-2.56
2MASS J08000232-6053513|      |      |       |         |08000232-6053513|08 00 02.33|-60 53 51.4|NGC2516 |344.0|19.61| 5.21|     |   |29.34|P06| 1.05|I07 | 0.35| 0.32| 0.02|3597| 0.00|-2.53
                       |      |      |       |         |                |08 06 57.37|+30 41 55.8|Field   | 75.0|15.23| 4.02|     |   |29.39|V99| 4.77|H11 | 0.31| 0.29| 0.01|3540| 0.00|-2.36
